unique_gene_symbol,hy_LRT_padj,fore_LRT_padj,med_LRT_padj,adr_LRT_padj,liv_LRT_padj,kid_LRT_padj,cluster_f,cluster_h,cluster_m,gene_id,source,orf_len,exons,rna_len,novel,min_sig,domains,br_expr,nonbr_expr,transcript_id,majiq_directed
KCTD4,NA,0.03739826565305275,1.034072318649332e-6,NA,NA,NA,insig,filtered,Winter_low,ENSSTOG00000006919,reference,259,1,780,0,1.034072318649332e-6,0,1,0,ENSSTOT00000006906,0
FIBIN,NA,NA,6.967905414431548e-6,NA,NA,0.9201519962433985,filtered,filtered,Unassigned,ENSSTOG00000011160,human_blastn,211,1,636,0,6.967905414431548e-6,0,1,1,ENSSTOT00000011160,0
ZNF112,4.872140740617495e-15,1.6224869959368504e-15,6.263531930166771e-18,6.095600493640504e-8,NA,4.749109861429872e-4,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000013458,reference,813,3,2566,0,6.263531930166771e-18,0,1,1,ENSSTOT00000036382,0
H1F0_ENSSTOG00000014808,1.954087220731847e-6,0.009446588679004449,4.379076625615487e-6,0.9332685922165577,0.0010103050870046537,NA,insig,Cold_high_EM,Cold_high_EM,ENSSTOG00000014808,reference,194,1,585,0,1.954087220731847e-6,0,1,1,ENSSTOT00000014807,0
ENSSTOG00000021167,6.708279905834302e-120,NA,1.7421996054549287e-74,NA,NA,NA,filtered,Cold_high_EL,Cold_high_EL,ENSSTOG00000021167,reference,222,1,4688,0,6.708279905834302e-120,0,1,0,TU46248,1
MIR138-1,2.8944246034179524e-70,3.5317433740647163e-9,8.078861054971481e-18,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000021182,human_blastn,143,1,3836,0,2.8944246034179524e-70,0,1,0,TU31641,1
CD82_like,8.535240437915015e-12,NA,8.771966753710864e-5,0.24673723752952903,7.961521206328069e-6,0.07786909736507537,filtered,Winter_high,Winter_high,ENSSTOG00000023731,human_blastn,180,5,740,0,8.535240437915015e-12,1,1,1,ENSSTOT00000029066,0
ENSSTOG00000029362,0.011178475206994788,2.2672886674504758e-15,4.671022037260153e-9,NA,NA,NA,Cold_low_EL,insig,Cold_low_EL,ENSSTOG00000029362,reference,135,2,3869,0,2.2672886674504758e-15,0,1,0,ENSSTOT00000032711,0
ENSSTOG00000029624,0.03653874413466183,5.908352528608839e-4,3.732230495490607e-5,0.2211382158579334,0.6919822898997355,0.14267548580744216,Cold_low_EL,insig,Cold_low_EM,ENSSTOG00000029624,reference,57,2,933,0,3.732230495490607e-5,0,1,1,ENSSTOT00000040900,0
ENSSTOG00000029792,0.09233419199216056,NA,9.734013419927238e-4,NA,NA,NA,filtered,insig,Unassigned,ENSSTOG00000029792,reference,154,3,2746,0,9.734013419927238e-4,0,1,0,TU25749,1
PANTR1_containing,5.7332828990790703e-8,3.6509830810284304e-5,4.244161303995887e-18,NA,NA,0.0017835666470445426,Cold_low_EM,Winter_low,Winter_low,ENSSTOG00000030227,human_blastn,112,4,1959,0,4.244161303995887e-18,0,1,1,ENSSTOT00000040075,0
ABCF1_containing,7.420436750309193e-8,0.10905280477095557,1.865953201716888e-9,6.704817232393358e-14,3.280931981224031e-20,2.9460604387709506e-5,insig,Winter_low,Cold_low_EH,ENSSTOG00000031280,human_blastn,740,5,2223,0,1.865953201716888e-9,1,1,1,ENSSTOT00000032424,0
ENSSTOG00000031411,8.566443348357797e-12,2.5315729609796776e-4,1.4269813507053689e-18,7.281374921501615e-10,1.21843648348985e-9,0.017507914174724658,Unassigned,Cold_low_EH,Cold_low_EH,ENSSTOG00000031411,reference,18,2,513,0,1.4269813507053689e-18,0,1,1,ENSSTOT00000031705,0
