unique_gene_symbol,hy_LRT_padj,fore_LRT_padj,med_LRT_padj,adr_LRT_padj,liv_LRT_padj,kid_LRT_padj,cluster_f,cluster_h,cluster_m,gene_id,source,orf_len,exons,rna_len,novel,min_sig,domains,br_expr,nonbr_expr,transcript_id,majiq_directed
CYSTM1,2.0888276930606343e-4,0.14064387866263514,0.03135108015714173,0.009175764382737506,1.142676377508134e-4,0.3427220116475997,insig,Winter_high,insig,ENSSTOG00000001912,reference,98,3,1205,0,2.0888276930606343e-4,0,1,1,ENSSTOT00000001903,0
ZNF112,4.872140740617495e-15,1.6224869959368504e-15,6.263531930166771e-18,6.095600493640504e-8,NA,4.749109861429872e-4,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000013458,reference,813,3,2566,0,6.263531930166771e-18,0,1,1,ENSSTOT00000036382,0
H1F0_ENSSTOG00000014808,1.954087220731847e-6,0.009446588679004449,4.379076625615487e-6,0.9332685922165577,0.0010103050870046537,NA,insig,Cold_high_EM,Cold_high_EM,ENSSTOG00000014808,reference,194,1,585,0,1.954087220731847e-6,0,1,1,ENSSTOT00000014807,0
ZBED8,1.1302536056449076e-10,1.0861720554999893e-9,NA,0.1718192991164797,NA,0.26416285351936836,Cold_low_EL,Cold_low_EL,filtered,ENSSTOG00000015054,reference,606,2,1821,0,1.1302536056449076e-10,0,1,1,ENSSTOT00000015053,0
ENSSTOG00000021167,6.708279905834302e-120,NA,1.7421996054549287e-74,NA,NA,NA,filtered,Cold_high_EL,Cold_high_EL,ENSSTOG00000021167,reference,222,1,4688,0,6.708279905834302e-120,0,1,0,TU46248,1
MIR138-1,2.8944246034179524e-70,3.5317433740647163e-9,8.078861054971481e-18,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000021182,human_blastn,143,1,3836,0,2.8944246034179524e-70,0,1,0,TU31641,1
CD82_like,8.535240437915015e-12,NA,8.771966753710864e-5,0.24673723752952903,7.961521206328069e-6,0.07786909736507537,filtered,Winter_high,Winter_high,ENSSTOG00000023731,human_blastn,180,5,740,0,8.535240437915015e-12,1,1,1,ENSSTOT00000029066,0
5S_rRNA_ENSSTOG00000024681,3.664257310368492e-4,NA,NA,1.0797819120348174e-7,NA,NA,filtered,Cold_low_EM,filtered,ENSSTOG00000024681,reference,97,1,2876,0,3.664257310368492e-4,0,1,1,TU14895,1
U1_ENSSTOG00000027312,3.580557680629411e-7,NA,0.22138458732128138,NA,NA,NA,filtered,IBA_high,insig,ENSSTOG00000027312,reference,19,1,164,0,3.580557680629411e-7,0,1,0,ENSSTOT00000021905,0
ATP6V1D_like,6.742622905282242e-4,0.010438202639934339,0.02438435621434532,0.7992536241257863,NA,0.17490883275974425,insig,Winter_high,insig,ENSSTOG00000027710,human_blastn,131,6,396,0,6.742622905282242e-4,1,1,1,ENSSTOT00000026718,0
